	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
LOC644248	0.7824085649273732	0.4005379295837288	0.11103131238874395	0.27500704749986976	0.36737106564852945	0.35614381022527536	0.3895668117627256	0.2630344058337938	0.070389327891398	0.056583528366367514
LOC644538	1.0496307677246008	1.9781956296816516	1.4059923596758368	1.5360529002402097	1.5801454844233804	0.9855004303048849	1.1505596765753812	0.903038270112912	0.9855004303048849	1.613531652917927
LOC644554	0.29865831556451516	0.15055967657538138	0.25096157353321874	0.12432813500220177	0.25096157353321874	0.6959938131099002	0.2630344058337938	0.32192809488736235	0.21412480535284734	0.0
LOC644649	0.0	0.0	0.11103131238874395	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC644656	2.304511041809953	1.790772037862	1.831877241191673	1.7782085763980877	1.8237493603082728	2.0806576633452254	2.4329594072761065	2.0669502439246266	2.2203299548795554	2.0250287944915226
LOC644669	0.7484612330040358	0.6415460290875237	0.49569516262406876	0.34482849699744117	0.918386234446348	0.7907720378619999	0.7739963251111731	1.0772429989324606	0.6780719051126377	0.44360665147561457
LOC644714	0.056583528366367514	0.27500704749986976	0.5160151470036647	0.13750352374993502	0.3103401206121505	0.0	0.32192809488736235	0.08406426478847456	0.25096157353321874	0.02856915219677092
LOC644759	0.0	0.0	0.0	0.0	0.02856915219677092	0.15055967657538138	0.0	0.0	0.014355292977070054	0.0
LOC644838	0.0	0.0	0.0	0.0	0.0	0.0	0.12432813500220177	0.0	0.0	0.0
LOC644936	0.27500704749986976	0.0	0.056583528366367514	0.0	0.014355292977070054	0.7311832415722002	0.02856915219677092	0.3103401206121505	0.0	0.13750352374993502
LOC644961	3.7644735509926663	4.969012307516316	4.229587922740652	4.661065479806948	3.229587922740652	3.628773595201645	3.298658315564515	3.3305584000308026	4.41886457739032	5.052676724303575
LOC644962	2.3757345385831563	1.1763227726404628	2.5360529002402097	2.2234225499349374	1.8639384504239715	2.495695162624069	2.6205864104518777	2.6484654430273142	1.8953026213333068	1.3673710656485294
LOC644990	0.056583528366367514	0.0	0.056583528366367514	0.08406426478847456	0.014355292977070054	0.3334237337251918	0.0	0.12432813500220177	0.0	0.0
LOC645158	0.765534746362977	0.8479969065549501	0.36737106564852945	0.21412480535284734	0.7311832415722002	0.6415460290875237	0.32192809488736235	0.6599245584023783	0.8073549220576041	0.9107326619029126
LOC645166	1.8196681834964554	1.7782085763980877	1.632268215499513	1.6780719051126378	1.7612852733616193	1.1505596765753812	2.27500704749987	1.613531652917927	2.0738202332916713	1.565597175854225
LOC645206	0.09761079662642233	0.0	0.18903382439001715	0.13750352374993502	0.17632277264046287	0.0	0.25096157353321874	0.18903382439001715	0.0	0.0
LOC645212	2.319039815562536	1.8114710305298358	1.9486008474933556	1.8914191868460786	2.5008020530571575	2.169925001442312	2.250961573533219	2.424922088210688	2.1210154009613658	2.1342209397606338
