	HC02A	HC04A	HC06A	RSA03A	RSA04A	RSA-1A
RNASEH1-AS1	5.79773628328539	6.4099975956115	6.03420745799539	6.13146375496917	5.24617024845781	6.31306775846667
RNASEH1P1	0.0	0.0	0.962773549420808	0.0	2.76001272995983	0.0
RNASEH1P2	0.0	0.0	0.0	0.0	0.0	1.07435283090471
RNASEH2A	0.0	0.907177105483059	1.53511066935104	2.2435026002505	0.0	1.68327177306147
RNASEH2B	8.40968629847081	8.55998934369595	8.31280947880124	8.38134984243178	8.03334484412038	8.27385083943403
RNASEH2B-AS1	3.24439091492229	4.81437324892208	3.25421302788724	4.29845799495487	4.28369003870105	4.13640950098339
RNASEH2C	8.69842137265205	9.68009323110433	9.38615032521228	9.17291175563948	10.0824239497212	11.0601217649165
RNASEK	6.4064268678838	6.49646210639687	6.52527206482049	6.41020038596823	6.69735121707867	6.44709356018978
RNASEK-C17orf49	0.0	0.907177105483059	0.0	0.951485877153058	0.0	0.0
RNASEL	9.00914442186169	8.63496963670165	8.59717617791078	8.55258923860991	8.74240257421256	9.29456491667737
RNASET2	10.0608680557031	9.92319765038214	9.77013525849395	10.8814735669539	10.4108325362267	9.7185268519988
RND1	3.50594940643674	2.83341775138823	2.52237382456651	1.92660299877737	0.0	3.45312181284737
RND2	5.64318437783198	6.18548078653862	5.65394199286254	5.73596480796982	6.80556625787955	4.8401827789508
RND3	11.2804869066353	10.0772619205159	11.4772559076875	11.0491693324848	11.8401285401227	11.0473637956394
RNF10	11.171598022636	11.1825423084095	11.4452060698705	11.3053982475585	11.1301333387771	11.1791061198571
RNF103	9.22660757387379	9.13696313090233	9.15350879105605	9.14462598463823	9.30005146790336	9.93117411317356
RNF103-CHMP3	3.62085856221639	2.42676444430612	0.962773549420808	2.50317491358933	2.15847061327983	2.4391201604074
RNF11	10.150868342075	9.89296631001085	10.0590562502486	9.91819031608449	10.1833044799516	10.4407199265689
RNF111	9.15452312487496	8.74207943248037	9.00418895984224	8.85277451875289	8.93851248495647	9.13631147483305
RNF112	6.37402786347542	7.03815616229138	5.1361060177098	5.45804450419362	8.06479572408586	6.33299360751585
RNF113A	7.70840156378487	7.75716736444744	8.03336606093644	7.72828192520795	7.91408206838333	7.92579306201768
RNF113B	0.957439223542008	0.907177105483059	0.962773549420808	0.951485877153058	0.0	2.11013994903199
RNF114	9.95121628627841	10.095845490615	9.96629365749207	10.1059411382027	9.92851860451996	10.5479708816301
RNF115	9.49490143858109	9.66927654914136	9.57570904343078	9.40921838979826	9.55164692079182	9.76143381536976
RNF121	8.47224151690254	8.08009639495459	8.47551432310354	8.40539058680108	8.33624072556154	8.3195088593546
RNF122	7.04350359091176	7.43836241238186	6.9251659507284	7.47924707227565	6.2270379808445	7.15521782834023
RNF123	8.27140809140188	8.53977104131694	8.52095089094967	8.2766305562883	8.12571243232274	8.3195088593546
RNF125	7.51395642071862	8.25150240102542	7.15389593529874	7.50172281730132	6.18185543786165	7.92579306201768
RNF126	9.27127235455885	9.4394048482868	9.63889874192719	9.44831445726516	9.37221853617951	8.99338433290269
RNF126P1	0.957439223542008	0.907177105483059	1.94379380210906	1.51990756854094	0.0	2.11013994903199
RNF128	0.0	0.0	0.962773549420808	3.49473524316921	0.0	0.0
RNF13	10.5375225251905	9.84571117374654	10.2931260722847	10.4721550204412	10.6740982322558	10.5329750784372
RNF130	10.4450262325177	10.665282996002	10.6180947531396	10.7824515435852	10.6535593415498	10.2844897877346
RNF133	0.0	0.907177105483059	0.962773549420808	0.0	0.0	0.0
RNF135	8.86213209582461	8.82795523318044	9.08960287339183	8.95675788577712	8.9620883319232	8.65247623858738
RNF138	7.78432985064809	7.85859222972728	7.84969220630253	7.66330540559879	7.39614789126299	7.87233012080288
RNF138P1	1.9356785405249	2.42676444430612	0.962773549420808	0.0	1.10755695246591	3.71847667276106
RNF139	8.92218613618362	8.62220636085658	8.97455569628326	8.88447889196954	9.19595251122098	8.80649808764942
RNF139-AS1	6.02339914587712	6.18548078653862	6.40116437967996	5.8571267201738	5.75811672168474	5.38935197459398
RNF14	9.90943897279529	9.67701101704287	9.67284392985066	9.43475101992221	10.0083316482184	10.0351796333478
RNF141	9.2446397574301	9.29609487704423	9.03844298319099	9.34644483694742	9.31058471207533	9.64869642064872
RNF144A	9.13532088630315	9.06569222321678	9.05655603360184	8.66307004314945	8.376901905323	8.67216374316682
RNF144B	8.93056480042805	7.92764852696581	9.24886239180226	9.03332248428793	8.55134929500497	9.21089247950445
RNF145	9.8310487719379	9.59773451641733	9.85980518424694	9.85848823679259	10.132262099141	10.1617358573508
RNF146	9.86204196668295	9.6074809303374	9.68120688227616	9.51796240356353	9.55608007997517	9.71093274682685
RNF148	0.0	0.0	0.962773549420808	0.951485877153058	0.0	0.0
RNF149	10.0595953458914	9.62996972521724	10.143794520005	10.3546269181317	10.6730782026775	10.3360019412336
RNF14P1	0.957439223542008	1.45982229981518	2.52237382456651	1.92660299877737	2.15847061327983	1.07435283090471
RNF14P3	1.52793113248798	1.45982229981518	0.962773549420808	1.92660299877737	0.0	0.0
RNF14P4	0.0	1.45982229981518	0.962773549420808	0.0	0.0	0.0
RNF150	7.91393243314617	9.01533062337102	9.1169862243963	7.95151746366236	8.32069239052247	8.70311538877203
RNF151	0.0	0.0	0.0	0.951485877153058	1.72666074592923	0.0
RNF152	8.96087685032575	9.26769214960052	9.26453054301331	8.8351829909957	8.10770596612703	8.87605506020039
RNF152P1	0.0	0.907177105483059	1.53511066935104	0.0	0.0	0.0
RNF157	6.04413928432441	6.62996430065059	5.78387668570643	6.37816438773977	5.95895020236437	6.46526276965861
RNF165	6.00235649363838	6.79826988906795	5.8085161288479	6.18799493576123	3.64939065030732	5.46353459015279
RNF166	8.29755550270621	9.34352096872656	8.51721869044511	8.9862799480123	8.58210537016113	8.54553186221865
RNF167	10.5448178062215	10.8449270074457	10.8766132882301	10.8685607029031	11.1762188617967	10.9106820036209
