	decidua_induced abortion_rep1	decidua_induced abortion_rep2	decidua_induced abortion_rep3	decidua_recurrent spontaneous abortion_rep1	decidua_recurrent spontaneous abortion_rep2	decidua_recurrent spontaneous abortion_rep3
ABCC4	1.0343072897534606	1.500909104194386	1.3706441688940252	1.9219618209304408	1.3170261549104716	1.6854872033828772
ABCC5	3.668595707317278	3.4934936295830457	3.63039382176603	3.4780787398154525	3.8428280195463405	4.426881961931184
ABCC6	0.19516236706824602	0.30279514218241094	0.24249275633153777	0.4096874558723693	0.06382913398086427	0.5197341169237024
ABCC6P1	0.0	0.01752887145950749	0.007078286642566184	0.0	0.0	0.0
ABCC6P2	0.0	0.2458169020344228	0.38986302941622786	0.03455352565913191	0.09402833383388733	0.09148875368074229
ABCC8	1.06192823408263	1.8256431822764616	2.0514765149539502	0.23764080683278108	0.6924334473739984	2.1452111529735967
ABCC9	1.3577546714417112	1.420239844026277	1.7752444334114916	1.20006486151431	1.3927899997456796	1.7380717171186217
ABCD1	0.0	3.790438428185201	0.0	2.998063686445658	0.0	0.0
ABCD2	0.014730059325102894	0.05925711009389023	0.02742600007832414	0.0572228889933969	0.08088629363377436	0.15292842976712487
ABCD3	2.434185177182422	2.2157904050233137	3.692103537434999	2.9813284397379234	3.3732584291992294	3.062273711998448
ABCD4	4.972678870227837	4.904031227718265	4.138224690993589	5.097598156135525	4.240932494753818	4.469514838209395
ABCE1	2.360428894348419	2.9741511520123125	4.110630508096435	3.4305395289185636	3.1498413995928836	3.351215586924911
ABCF1	0.0	0.0	0.0	0.0	0.0	0.0
ABCF2	2.9448228463997825	3.497803945864427	4.292303225092377	4.731020277356326	3.960724836628826	4.2024882481259755
ABCF3	3.747817028911667	5.258914594010164	4.678483239975824	4.323636676376101	4.5244398510974655	4.5355553333993095
ABCG1	2.6911164822135287	3.091862286836332	2.9111105524646943	3.139741243588916	4.447314700253176	3.2839499149548685
ABCG2	1.241333778890602	1.133629280625504	1.5379818366043472	1.5539256734700506	1.6184219179181096	1.2021167695488377
ABCG4	0.11169933923951311	0.1938461624673414	0.13002016941242972	0.08566680745326319	0.15529718648813334	0.10052546516398958
ABCG5	0.0	0.0	0.0	0.08964702277759949	0.0	1.14336076338833
ABCG8	0.015357689133898414	0.08758490505973723	0.028782004732941718	0.0	0.0	0.044541284233663686
ABHD1	0.0	0.0	0.0	0.0	0.0	0.0
ABHD10	3.295830267741248	2.8453334786736018	3.328409967648124	2.8286945357568345	2.942542655211747	3.0253637302562923
ABHD11	5.18354209327481	4.472552756262236	4.056635547682403	3.8952250549986616	4.067853797311811	4.093534823988304
ABHD11-AS1	4.088540216928882	0.5514579395243191	1.1451557084186854	1.1585115361737308	2.0847888329103226	0.0
ABHD12	4.59928208298297	5.284547446322703	4.27330700456454	4.58820491820984	4.4445014283107565	4.441576433742716
ABHD12B	0.22067170309577308	0.03457070989145257	0.30599269368014903	0.4179945163353928	0.0	0.28409950612804485
ABHD13	1.3685672236622077	1.126318739086086	1.7790369418117034	1.7601953929701075	1.8267782833176844	1.9242405367988675
ABHD14A	5.164758125367299	5.3899625349894835	4.616510616448522	4.735348870185885	4.144568517664712	4.588588722156938
ABHD14A-ACY1	5.164758125367299	5.3899625349894835	4.616510616448522	4.735348870185885	4.144568517664712	4.588588722156938
