Gene	Color
SFT2D1	magenta
SGMS1	magenta
SH2B3	magenta
SHISA3	magenta
SIL1	darkolivegreen
SLC12A2	magenta
SLC15A4	darkolivegreen
SLC16A7	magenta
SLC19A3	magenta
SLC22A23	mediumpurple3
SLC25A18	magenta
SLC2A13	magenta
SLC2A4	magenta
SLC2A5	mediumpurple3
SLC2A6	darkolivegreen
SLC30A1	magenta
SLC31A1	magenta
SLC35E1	magenta
SLC46A1	magenta
SLC4A4	magenta
SLC50A1	darkolivegreen
SLC9A5	magenta
SLCO3A1	magenta
SND1	darkolivegreen
SNX27	magenta
SNX29	magenta
SNX8	mediumpurple3
SOBP	darkolivegreen
SPAG4	darkolivegreen
SPATA18	magenta
SPATA7	magenta
SPICE1	magenta
SPINT2	magenta
SPOCK2	magenta
SPOCK3	mediumpurple3
SPRED1	magenta
SPTBN1	magenta
SPTSSB	mediumpurple3
SRPK2	magenta
SRPX	mediumpurple3
SSX2IP	magenta
STARD9	magenta
STEAP3	mediumpurple3
STOM	mediumpurple3
STON1	magenta
STRADB	darkolivegreen
STRN3	magenta
STXBP6	magenta
SUGT1	magenta
SUOX	magenta
SYNE1	magenta
TAF9B	magenta
TAX1BP3	magenta
TBC1D14	magenta
TBC1D9B	magenta
TBL1X	magenta
TBP	darkolivegreen
TCEAL3	magenta
TCEAL4	magenta
TCTN2	mediumpurple3
TDRKH	darkolivegreen
TECR	magenta
TERF2IP	magenta
TGFBR3	magenta
THNSL2	darkolivegreen
TMBIM6	magenta
TMEM100	magenta
TMEM150C	magenta
TMEM164	magenta
TMEM199	magenta
TMEM97	darkolivegreen
TMSB4X	magenta
TNS1	magenta
TPPP3	magenta
TRAK2	magenta
TRAM2	magenta
TRIM16	darkolivegreen
TRIM35	magenta
TSPAN8	darkolivegreen
TTC3	magenta
TTLL12	darkolivegreen
TUBA1A	magenta
TUSC3	darkolivegreen
TXNDC2	mediumpurple3
UACA	magenta
UBE2S	magenta
UFSP1	magenta
UIMC1	magenta
UNC119B	magenta
UNC13D	magenta
USP13	magenta
USP33	magenta
USP53	magenta
USP54	magenta
UXS1	magenta
VCAM1	magenta
VEPH1	magenta
VLDLR	magenta
VSIG10L	magenta
WDR37	magenta
WFIKKN2	magenta
WNT5A	mediumpurple3
XPNPEP1	darkolivegreen
YIPF2	magenta
ZBTB7C	magenta
ZDHHC9	magenta
ZFPM2	mediumpurple3
ZKSCAN4	magenta
ZNF131	mediumpurple3
ZNF165	darkolivegreen
ZNF189	magenta
ZNF215	magenta
ZNF222	magenta
ZNF395	darkolivegreen
ZNF451	magenta
ZNF521	magenta
ZNF575	magenta
ZNF584	magenta
ZNF704	magenta
ZNF786	magenta
ZNF823	magenta
