	GSM3119483	GSM3119484	GSM3119485	GSM3119486	GSM3119487	GSM3119488	GSM5393469	GSM5393470	GSM5393471	GSM5393472	GSM5393473	GSM5393474
MSLNL	0.3932228762689514	1.179517419771979	0.6103636775156778	0.6059399217338469	0.6576464070099669	0.0731858563137248	2.92467386431012	2.64437186658867	2.52237382456651	4.22831109644946	2.98710739767197	2.11013994903199
MSMB	0.0	0.0	0.0	0.0	0.3420529007011209	0.0	0.957439223542008	0.0	0.0	0.0	0.0	0.0
MSMO1	3.486353976002037	3.321258529037097	3.284703637387548	2.8068272113696704	3.133201820296419	3.0841033939582347	8.17126344614229	7.86402320348141	8.08470313155059	8.10620085933268	8.184160848506	8.66432095126708
MSN	5.756310793296939	5.893614611772927	6.922388165003844	6.705245313057918	7.076484273480612	6.927683161757639	13.0045342232581	13.2854921272676	13.2051946096297	13.0827572891756	12.3039901464225	13.1567954720011
MSR1	2.3365204845954204	2.417066664858374	2.028625727363574	2.331802653874684	3.5736047769370014	3.165268811747556	8.73076567334433	9.03472385545108	10.3308231052835	10.5515012016568	10.2842850919951	9.39038611682932
MSRA	3.113888823909996	3.090348737580448	2.671560597362335	3.250679674903984	3.1308320517134	3.245770971642933	6.70880254941223	7.60978947480936	7.33440745930152	7.34481398339256	7.17188485641693	7.74426208029727
MSRB2	7.057569408747021	5.918431556495323	3.77435484511704	5.6520361202110605	5.1392525505700615	5.638574927341931	8.51372694986808	9.34934109297126	9.01216622789317	8.64298909684509	9.30532770298648	9.60634446688423
MSRB3	1.8383104266253605	1.8957795626229736	2.4747760716451968	2.4769104492167364	2.324683894100234	2.836760352481349	9.16875891718032	8.67877233929566	9.15110250881705	8.75637245076284	8.48779735831591	8.68384856513054
MSS51	1.411637753178721	0.9931888534860344	1.5141727693973654	0.9337395582399424	1.3456688776428007	1.4365403238388037	6.61488037152735	6.89694113182801	6.84406417569234	6.65711664183645	5.98548769110676	6.41005392253934
MST1	3.55006336316472	5.013368459246887	3.651981606727412	3.491647898442775	3.886003790182657	3.802896294791826	8.91375852721869	8.51236485233502	9.64232942834425	8.80537854317313	9.52701801089375	8.40670602976517
MST1P2	1.1377264684836954	2.5743679762660463	1.6405515215374094	1.6040570864764974	0.0	0.0	6.79698216368467	6.3950692789811	7.63917529119769	6.72236626874222	6.79059511895311	4.66260995315661
MST1R	2.840904283672631	2.264581467602232	1.9908568626885956	1.9915898693855345	1.7061017138750094	2.196263954089139	6.92550204673052	6.4099975956115	5.59850412501308	6.9894973225157	4.19551035006333	7.2101197109832
MSTN	0.0569865943434088	0.0	0.1306077753635394	0.0626663508383907	0.1020458553712213	0.2204488330064684	2.73360603162449	1.85842555506275	1.53511066935104	0.0	3.64939065030732	3.12770602381717
MSTO1	5.221641251520518	0.0	0.0	0.0	0.0	0.0	8.3104536182494	8.45593935180353	8.40051198936788	8.06151194822994	7.89320997888888	7.85864898134664
MSTO2P	5.221641251520518	0.0	0.0	0.0	0.0	0.0	6.30696182347524	6.79826988906795	6.52527206482049	6.82099079933164	6.06229128354377	6.50092880425825
MSX1	3.3870853910293577	4.556552036251218	4.355199550421626	3.257798150929877	3.7195339388383712	3.518069272180151	8.12820354161064	8.56999322393376	7.59027840435113	9.02300034875526	4.19551035006333	7.91921754245408
MSX2	0.7054179610274638	0.8873326385979665	1.2936235663983475	0.5736023534389831	1.3183689075848934	1.144398840276832	6.02339914587712	4.40146426283356	5.05605509877972	6.72236626874222	2.98710739767197	4.46007200824533
MT1A	0.0	11.050073102428492	2.280032812231188	6.948110210384543	1.416850548576781	1.5327358661268908	2.73360603162449	1.85842555506275	3.51596298472128	2.50317491358933	1.10755695246591	1.68327177306147
MT1DP	0.2129577403738597	1.1165643778033114	1.1588346452717275	6.948110210384543	1.0675148159886267	0.5484543808334309	0.957439223542008	1.45982229981518	0.962773549420808	0.951485877153058	1.72666074592923	1.68327177306147
MT1E	7.159820892013935	11.050073102428492	7.784124414168915	6.804195569852973	7.126239845068406	6.557635244783864	8.55405271712223	7.33264661927949	8.81346765757383	8.5915287506332	8.24033323374732	9.24547172597507
MT1F	7.1120119782435625	11.050073102428492	7.978773370105135	6.948110210384543	7.366217287154538	6.97335871290673	8.81765235462017	6.91798088198675	8.46392801409795	7.74093329624547	7.74576724515893	9.2402054904878
MT1G	7.67831843837544	9.93441477101507	8.534100521285001	6.3145497112789055	7.08807797709372	6.572791161719781	8.71468416341846	6.75215224310099	8.36772705453151	7.53115595941361	7.40600469660446	9.82613109312375
MT1H	5.043033847500181	7.29711803244921	5.4130287265483314	4.031977379873456	4.447638701533289	4.230933093039401	6.42235754542401	3.8207493905438	6.51033003554388	6.45695879170051	7.90020094751331	6.07353394886216
MT1IP	0.0	0.0	8.78302113465264	6.948110210384543	0.0	0.0	0.0	0.0	0.0	0.951485877153058	1.10755695246591	1.07435283090471
MT1JP	7.159820892013935	0.9419213536549356	0.2679659956205987	6.804195569852973	7.126239845068406	6.557635244783864	0.0	0.0	0.0	0.0	1.10755695246591	1.07435283090471
MT1L	7.159820892013935	11.050073102428492	7.784124414168915	6.804195569852973	4.995000524317846	3.9470489290405535	5.08598125934439	3.72848801317765	4.32056165924876	4.60564748976131	3.77640397382505	5.84284409196316
MT1M	5.147685234439617	11.050073102428492	8.78302113465264	4.500980467206444	4.71090559405564	4.479036498427312	4.9163649175733	3.72848801317765	5.51113609037091	4.65995011725341	3.35592339260063	6.44709356018978
MT1X	5.501636586598145	7.506787573020682	6.571335509737552	6.948110210384543	6.357520335354961	5.220488611650672	7.73415756175536	4.85857371127099	7.63917529119769	6.63016743223744	8.48779735831591	6.55282720408716
MT2A	9.595445849499132	11.050073102428492	8.78302113465264	9.87946531749113	8.950308015059111	8.90327934205614	10.9810604590582	9.83053409958884	11.8246933554811	11.5002993180704	11.3407046798428	11.2009561974369
MT3	0.0963663063361134	0.2203720586697951	0.0975641442380995	0.3362251075212686	0.2424647078727018	0.0	0.0	0.0	3.73743724184233	2.72316103421608	3.51010618375878	1.68327177306147
MTA1	3.88383583610776	4.836020048673248	4.475370279995865	4.004312616047701	4.199797961792736	4.36639915592957	9.67191064734275	10.1656773515059	9.97855976530553	9.63102449268	9.20727079946977	9.40927896876719
MTA2	4.216749737706167	4.718383547263982	5.690196372009941	5.185089500296879	5.548945177534936	6.275482030297447	10.1472782419146	10.467199784048	10.3039975380569	10.3054359480384	9.65238592599251	9.96189140132799
MTA3	2.685783203386088	4.08270258933025	3.721503907035708	3.136401408493853	3.978470228237356	3.539295317728893	8.96632035501172	8.69409935508594	9.26007126480953	8.78414290972485	8.68688701151878	8.892932655434
MTAP	1.3867226717997163	1.7065438135575923	2.14702985714458	2.0149693789656453	2.186887168393146	2.1560859085706445	8.51000445682033	8.37836482992566	8.82256883719622	8.44458912449651	8.45493977635277	8.46655754710252
MTBP	0.0	0.3807704461671886	1.0146480875047514	0.0	0.7891691725378551	1.110857644199879	5.86921658221968	5.78850533083473	5.54085054238221	5.94722476447336	6.27084835511096	5.6967103403329
MTCH1	5.954238194473619	6.608853587128458	6.937709257449627	7.106306438525657	7.0448640116661965	7.80844297354473	11.559270827703	11.9844980207143	11.8751364932993	11.700593698964	11.7069294048355	11.6909443989675
MTCH2	3.935308869846473	4.041549645011417	4.250726661834176	4.1307579336864695	4.43927073121465	4.176298833917947	9.69011917530547	9.81238925250822	9.97448263941142	9.90419800516622	10.0576258689194	10.1005717082057
MTCP1	4.05451858120854	4.318005850992674	3.8536364252695146	3.438927550997774	3.544856274889975	4.25479809799661	4.9606748635703	3.72848801317765	4.32056165924876	4.29845799495487	3.51010618375878	3.12770602381717
MTDH	3.094906581373874	3.1802019771242542	3.7477096335908975	3.868301547505347	3.818911898666361	3.9659227767384992	11.2628999628663	11.1694424015486	11.0487170389047	11.3322955875091	11.6020394287472	11.5437533641593
MTF1	2.8638611611193707	4.17755109381849	5.065873846768905	2.5680515676422333	3.787004022453039	3.5358290163976003	10.0103810821449	9.84845356967154	9.43444226597346	9.92652102283463	8.76172298374617	10.790633070135
MTF2	1.8950156050618552	2.090223383793345	2.343078025738853	1.989872887173481	2.468400850811139	2.611085012887177	8.25370944103386	8.01323604236606	8.3883047802206	8.37324640485112	8.5557833674325	8.32946180284307
MTFMT	1.525507654475159	1.788748344349753	1.8557625147333316	2.491719721023119	2.407265724497724	2.2759307919163376	6.93663729643432	7.40148968469791	7.21967498165433	7.28559938284885	7.43517737854583	7.12124500546005
MTFP1	4.024488125640636	4.742938593526157	3.718405468056533	3.812077163918224	3.955126781261366	3.666256673927092	3.62085856221639	3.8207493905438	4.25035624510711	4.36535176510608	4.19551035006333	3.83484537966523
MTFR1	2.087876920161829	2.266627648127842	2.86069270165347	2.220707606723399	3.156297909320747	2.701671032151338	8.1570524678482	7.91200331859237	7.91355059011449	7.79653040470238	7.37622991907225	8.18345494138456
MTG1	5.0715696221411415	5.404600031731057	4.773933047625214	4.451679293447665	4.749255355423617	4.910953269941561	7.19028344565598	7.42372621410901	7.7703877635091	7.36946608914748	7.11292663107327	7.26300866593913
MTHFD1	3.0741611624983425	4.428892761785916	3.746871675601509	3.1033767806062658	3.5340491481629344	3.577054131873994	8.61770172136365	9.03712978179174	9.06935609641629	8.68941710978878	8.45018414587	8.63251635033515
MTHFD1L	6.394716483717251	5.754080435902883	4.6368855869970025	4.956558533740997	4.689036320055812	5.1226851415178505	9.80394271616766	9.59610369333912	9.75278271037121	9.66295234752426	9.97561109955097	9.85570252548968
MTHFD2	2.8578795054239814	3.961651107769959	4.834018418352295	4.730596484224834	4.491622246654666	4.347105759318694	9.31885740842285	9.08442445625166	9.73682447934722	9.13267458438379	9.13206308995233	9.25594687580404
MTHFD2L	1.784721731785295	1.92650047823352	1.455665207035874	1.5740336719670416	1.3005162014029703	1.6453465892631498	5.55922081028566	5.89844904255041	5.8085161288479	6.22448809358783	6.24910946049763	6.74355018069572
