ID	GSM3119483	GSM3119484	GSM3119485	GSM3119486	GSM3119487	GSM3119488	GSM5393469	GSM5393470	GSM5393471	GSM5393472	GSM5393473	GSM5393474
DMBX1	0.643520152409775	0.664678297779825	0.661766992009131	0.675319038748022	0.658170712023491	0.643520152409775	-0.395611540373268	-0.395611540373268	1.14513951089656	1.38270413596646	0.973028670635872	0.938636336692331
DMC1	1.15405634460109	1.35311040184136	1.31219844750514	1.17869779882494	7.06059285633592	1.29015065268254	1.38459848619678	2.62581570806324	2.73957479722591	2.71679663128933	3.81680940937931	-1.03318586581608
DMD	3.46765745581736	3.65222919623278	3.86186729587553	3.97860656767443	4.46737056441444	4.05128562974781	3.89799319278664	3.08966764912498	4.22422933817283	4.08582222333052	4.66122314681937	3.54047990657249
DMGDH	3.05076700559173	3.07333425333509	3.70777069404866	2.73158237363594	3.89799552235952	3.89872211548459	3.28184970712819	3.45583208842336	2.31045447788094	3.32546391051326	4.02654723686681	3.93300452426733
DMKN	9.2968470322519	8.51075166949197	8.53067499247028	8.22007383517132	8.05067173070387	8.03861779651344	9.10425178720848	8.88469582639734	8.31342002601044	8.22760308129397	8.25242173269434	7.80904800353757
DMP1	0.713861471987064	0.760015762604295	0.713861471987064	0.713861471987064	0.713861471987064	0.737130698274074	0.314750079519152	-0.44414283581493	0.772628508599444	1.99914530491595	1.74351989566339	-0.44414283581493
DMPK	6.30156305314879	7.17044620377971	7.451335487821	7.13370387659551	6.96875448162802	7.29040966800533	6.99597264685275	7.20551800940325	7.39043001586479	6.75254783586085	7.26479066046281	6.73286171419091
DMRT1	0.0859954317816137	0.0859954317816137	0.0859954317816137	0.0859954317816137	0.0859954317816137	0.114105925882263	-0.0589195124374069	-0.0589195124374069	0.704193252754841	-0.0589195124374069	-0.0589195124374069	-0.0589195124374069
DMRT2	0.10786733967963	0.0832789947543311	0.0832789947543311	0.0832789947543311	0.103280436151721	0.0936633261664971	-0.0571860811219763	-0.0571860811219763	0.705916171977886	-0.0571860811219763	-0.0571860811219763	-0.0571860811219763
DMRTA1	1.99428587035425	2.53253544899453	3.52736606417696	2.50272227713889	3.19109326208935	2.66016585102167	3.45728920486336	2.99470149407054	2.38556958812008	3.14686260573713	0.581218755282328	3.48404073609109
DMRTA2	0.159662350942058	0.159662350942058	0.159662350942058	0.218155089499784	0.159662350942058	0.159662350942058	0.655605687859671	0.615753237808903	-0.103540569926415	-0.103540569926415	-0.103540569926415	-0.103540569926415
DMTF1	6.75791318760675	6.90090109114688	7.09306234874458	7.46200423804266	7.15241140850553	7.12862690738301	7.47288890633604	7.02924776594135	6.8760246110048	7.26406074577667	7.16793054887238	6.86713441503323
DMWD	6.248113069652	5.55642329119283	7.35178695263096	7.04689034600981	6.88855437121258	7.19731323324824	7.06135508801074	6.98313812754287	6.9559512132842	6.38011440234646	6.36936518165763	6.43307405463315
DMXL1	5.17365923847507	5.61389906996017	5.82962377961038	4.90591661554594	5.12403886588848	4.88513621459897	5.58380274510725	4.75859347559158	5.05105007100836	5.08944062841528	5.82552551155029	5.379445676196
DMXL2	5.94394156464607	5.67822856644939	6.55502342007759	6.37277213379658	6.25623087493205	6.89749261286252	6.2398665676692	6.1875565789763	6.32286314025041	6.19393857846607	6.17627199888391	6.66597014399407
DNA2	3.10781503313421	3.27668933995976	3.8925930154457	4.08152833398223	3.50743717892352	3.89096889672215	3.72536663767784	3.16937043394065	4.10972326318791	3.19647425319704	3.98623559752965	3.64786079295124
DNAAF1	7.03036231183703	3.55286755464521	3.55286755464521	3.55286755464521	3.55286755464521	3.55286755464521	3.7091468994578	4.07492026894375	2.91167819478763	4.2623651155838	4.50456335976643	5.0098645669762
DNAAF2	3.79496730303635	4.08097811089958	3.04168991429133	4.42742534282015	4.73891341166541	5.29735037951654	4.28850478615509	4.13635376079325	4.51432008212516	4.541064300516	3.88191710495854	3.93785245409428
DNAH1	6.14451488624939	4.96886151908056	5.76222540409655	6.27217606451264	6.14083352407072	4.54609070397817	6.12866825078539	6.29805701047867	5.4654942146758	5.65301017564957	4.43406186264776	5.78240507984851
DNAH10	1.88358988141254	1.88358988141254	1.88358988141254	1.88358988141254	2.89796227278449	1.88358988141254	2.59932608054587	1.44147145111785	1.96566403118047	2.03329958198885	2.39126543040824	1.85321150309475
DNAH11	3.14468333702075	3.14468333702075	3.32794969675527	3.14468333702075	3.22343281826949	3.14468333702075	3.86324285572831	2.33962396579593	2.64294701045178	3.38547303960417	3.94537627662474	2.97622339226573
DNAH12	1.90301686347978	1.99413868833418	1.95056734135414	1.89536632869939	1.8663955559385	1.92393944480999	2.53346724945472	2.14126411284375	0.709359233607047	2.37824103626072	2.00358379585331	1.65447786177365
DNAH14	3.48377207172604	3.88950694288962	3.56974239949297	3.65237760015778	4.0069860197094	3.85379996209116	4.02006682028486	3.6703035385919	3.43570168266595	3.81476279281633	4.02700296401766	3.63184193685567
DNAH17	3.86476013459637	4.95285952761039	5.07382553876739	5.30221942410935	5.75978094837567	5.05317194322781	4.78949155177296	5.17221607656458	4.76803027886235	4.88496031106067	4.87983712380401	5.45755935430962
DNAH2	2.20302693436752	3.11299236873987	2.9267055338466	1.94071329180195	2.69370463463954	2.47167845537406	2.82486330067334	3.56657733389771	2.32360608230631	1.97177201219888	0.633162856675532	3.69703938884126
DNAH3	1.58155498031572	1.62306397700587	1.60131705890959	1.55675535681764	1.63123193330242	1.60004177570598	1.9536891293397	2.47378808664604	0.623747477159178	1.64642195221254	0.793989938705521	1.93071774413403
DNAH5	2.58927401632614	2.47864271083601	2.3814639380805	2.38226476925963	2.51205929253516	2.32860993177977	2.76730675723851	3.20768764317807	2.34165814124565	3.22173580522291	1.84374701674415	1.1499900807682
DNAH6	2.23810793009777	2.05787632183673	2.44838059989032	1.93196234294222	2.21751762680133	2.28856793433341	2.80663756181628	2.99613789662703	0.765804718106763	2.58816116024441	1.34359496539889	2.45788616028782
DNAH7	1.73344042360852	2.73034216900581	2.5419775106328	3.05727674884989	1.73344042360852	1.73344042360852	3.23812091283211	2.05023352086264	0.743417553515117	2.70822820015834	1.51582195819117	2.99479147147994
DNAH8	0.578031986206233	0.561476974150187	0.408946044090985	1.52691672340487	0.522982195220218	0.346367322639709	1.62316642446901	-0.217588230125942	1.03651416115231	-0.217588230125942	1.54576552127651	-0.217588230125942
