Gene	Color
TOE1	green
TOPORS	green
TOR1AIP1	green
TP53I11	green
TPM4	green
TPX2	darkgreen
TRIM69	green
TRIM7	green
TRIP6	plum1
TRMT61B	green
TRPC1	green
TSHZ2	darkgreen
TSKU	plum1
TSPAN17	green
TSPAN7	green
TSPYL4	darkgreen
TTC12	steelblue
TTC23	darkgreen
TTC30B	green
TTC36	darkgreen
TTC8	green
TTC9	darkgreen
TTLL9	green
TUB	green
TUBA8	darkgreen
TUBB3	darkgreen
TWSG1	green
TXNDC16	green
UBE2L6	green
UBE2QL1	green
UBXN8	green
UCP2	green
ULK2	green
ULK3	green
ULK4	green
UNC5D	green
UPF3A	green
USP3	green
USP51	green
UST	green
VANGL2	green
VASH2	green
VAT1	green
VAT1L	green
VCAN	plum1
VEZF1	green
VEZT	green
VIT	green
VSTM4	green
VWC2	green
VWDE	green
WDR1	plum1
WDR86	green
WDYHV1	green
WFDC13	darkgreen
WHAMM	steelblue
WNK3	green
WNT11	green
WNT2B	green
WT1	darkgreen
XRRA1	green
YARS	green
ZBTB42	green
ZC4H2	green
ZCCHC12	green
ZCCHC17	darkgreen
ZCCHC8	steelblue
ZCWPW1	steelblue
ZDBF2	green
ZDHHC21	green
ZEB1	green
ZFAND5	steelblue
ZFP36L2	steelblue
ZFP92	green
ZNF100	steelblue
ZNF124	green
ZNF155	green
ZNF182	steelblue
ZNF184	green
ZNF208	darkgreen
ZNF214	green
ZNF227	darkgreen
ZNF233	darkgreen
ZNF254	green
ZNF277	darkgreen
ZNF331	green
ZNF33B	green
ZNF385B	green
ZNF415	green
ZNF43	green
ZNF443	green
ZNF460	green
ZNF48	plum1
ZNF486	green
ZNF512	darkgreen
ZNF530	green
ZNF536	green
ZNF547	green
ZNF597	green
ZNF615	green
ZNF630	darkgreen
ZNF711	green
ZNF728	darkgreen
ZNF763	steelblue
ZNF774	green
ZNF83	darkgreen
ZNF836	green
ZNF85	green
ZNF878	green
ZNF98	green
ZNRF3	green
ZSWIM5	green
ZXDA	green
