Gene	Color
NRXN2	green
NT5C2	midnightblue
NT5M	green
NTNG2	green
NUDT12	green
NUDT6	midnightblue
NUP205	green
NXN	midnightblue
OAS1	green
OAS2	green
OAS3	green
OASL	green
OGN	green
OLFML2B	midnightblue
OPTN	green
OSBPL8	green
OSTF1	green
OSTM1	green
P2RX5-TAX1BP3	midnightblue
PACS2	green
PAGE4	green
PAM	green
PAM16	green
PAMR1	green
PANX1	green
PAPSS2	green
PAQR3	green
PARD3B	green
PARP14	green
PARP9	green
PBXIP1	green
PCDH20	green
PCDHB2	midnightblue
PCM1	green
PCSK5	green
PCYOX1	green
PDE4B	green
PDE8B	midnightblue
PDF	green
PDGFC	green
PDPN	green
PDZD2	green
PFN4	midnightblue
PGAP1	midnightblue
PGD	green
PGR	midnightblue
PGRMC2	green
PHIP	midnightblue
PHKA1	green
PHKA2	green
PHLDA3	green
PHOSPHO2	green
PHTF2	green
PIGF	midnightblue
PIGP	green
PIGX	green
PIK3AP1	green
PIP5K1B	green
PKD2	green
PKIG	green
PKMYT1	green
PLA2G4C	green
PLA2G7	green
PLCE1	green
PLCXD2	midnightblue
PLD1	green
PLEKHB2	green
PLEKHG5	midnightblue
PLEKHH3	green
PLEKHJ1	green
PLK3	green
PLSCR1	green
PMAIP1	midnightblue
PNPLA7	green
PNPLA8	green
PODXL2	green
POLE	green
POLR1D	green
PON2	green
POP1	green
PPFIA1	green
PPIL1	green
PPIP5K2	green
PPP1CA	green
PPP1R14C	midnightblue
PPP1R15A	green
PPP1R21	midnightblue
PRKD1	green
PRLR	green
PRPF40A	green
PRSS27	green
PSME4	green
PTPN6	green
PTS	green
PTTG1IP	green
RAB11FIP1	green
RAB18	green
RAB21	green
RAB23	midnightblue
RAB31	green
RAB9A	green
RAI14	green
RANGRF	green
RAP1B	green
RASA3	green
RBBP6	green
RBMS1	green
RBPMS2	green
RCAN1	green
RELL1	green
RFXANK	green
RGS16	green
RGS20	green
RGS4	midnightblue
RHBDD1	green
RHEB	green
RHOB	green
RHOF	midnightblue
RHOQ	green
RHOT2	green
RHOU	green
RIIAD1	green
RNF14	green
RNF144B	green
RNF149	green
RNF19A	green
RNLS	green
ROS1	green
RPS3	green
RPS6KA4	green
RPSAP58	midnightblue
RSAD2	green
RTKN	green
RTN4	green
RUNDC3A	green
RUNX2	green
S100A3	midnightblue
S100A4	midnightblue
SAMD9	green
SAMD9L	green
SAP30	green
SCAMP4	green
SCGB1D2	green
SCML1	green
SDC2	green
SEC61B	green
SEL1L	green
SEMA3A	green
SEMA3C	green
SEMA3G	green
SEMA5A	green
SEMA7A	green
SERF1B	green
SERINC3	green
SERPINB2	green
SERPINB8	green
SETD1A	midnightblue
SGCB	green
SGCE	green
SGSM2	green
SHPK	midnightblue
SIPA1L2	green
SIRT5	midnightblue
SKP1	green
SLAMF7	midnightblue
SLC10A6	midnightblue
SLC19A1	green
SLC1A2	green
SLC25A1	midnightblue
SLC25A30	green
SLC25A34	midnightblue
SLC26A11	green
SLC2A12	green
SLC2A13	green
SLC35E3	green
SLC37A3	green
SLC38A2	green
SLC39A14	green
SLC39A6	midnightblue
SLC40A1	green
SLC43A1	green
SLC5A3	green
SMAP1	green
SMAP2	green
SNAP91	green
SNX25	green
SNX30	midnightblue
SNX7	green
SNX9	midnightblue
SOAT1	green
SOWAHC	green
SOX4	green
SPATA13	midnightblue
SPATA2L	green
SPC25	green
SPCS3	green
SPDYE5	green
SPG21	green
SPIRE1	green
SPOCK1	green
SPOCK2	green
SPPL2B	green
SPRN	green
SPSB1	midnightblue
SPTBN1	green
SPTBN5	green
SPTLC2	green
SRBD1	green
SRP19	green
SRRM5	midnightblue
SS18	green
SSBP2	midnightblue
ST3GAL5	green
ST6GALNAC2	green
ST6GALNAC5	green
STAG1	midnightblue
STAMBPL1	green
STAR	green
STARD13	midnightblue
STAT1	green
STAT2	green
STC1	green
STK38L	green
STON1	green
STON1-GTF2A1L	green
STS	green
STX11	green
STX7	green
STXBP1	green
STXBP5	green
SUN2	green
SYAP1	green
SYCE1	green
SYNDIG1	green
SYNRG	midnightblue
SYT11	green
SYTL1	green
SYTL2	green
SZT2	green
TACC2	green
TAGAP	green
TBC1D19	green
TBC1D3C	green
TBC1D4	green
TBX3	green
TCEAL7	midnightblue
TCF20	midnightblue
TCF7L1	green
TCP11L1	green
TDRD7	green
TEX2	green
TFG	green
TFRC	green
TGFBR1	green
THAP4	green
THY1	green
TIGD2	green
TIMM17A	green
TIMM44	green
TIMP2	green
TJP2	midnightblue
TK1	green
TMBIM4	green
TMC1	green
TMED10	green
TMEM106A	green
TMEM121	green
TMEM126B	green
TMEM139	midnightblue
TMEM143	green
TMEM170B	green
TMEM240	green
TMEM26	green
TMEM38B	green
TMEM45A	green
TMEM87B	green
TMEM8B	green
TMEM98	green
TMX3	green
TNFRSF11B	midnightblue
TNFRSF1B	green
TNFRSF21	green
TOR2A	green
TP53INP1	midnightblue
TPGS2	green
TPP1	green
TRAPPC6A	green
TRIB1	green
TRIM14	green
TRIM17	green
TROAP	green
TRPC6	midnightblue
TRPV1	midnightblue
TSPAN3	green
TSPAN9	green
TTC8	green
TWSG1	green
TXNDC15	green
TYRO3	green
UBC	green
UBE2C	green
UBE2D1	green
UBE2QL1	midnightblue
UBE2V2	green
UBE3A	green
UFSP1	green
UIMC1	midnightblue
UNC5B	green
UNG	green
USP18	green
USP33	green
USP38	green
USP9X	green
VAT1	green
VEGFA	green
VEZT	green
VMA21	green
VMAC	midnightblue
VOPP1	green
VPS13A	green
VPS13D	green
VPS37A	green
WBP1	green
WDFY1	midnightblue
WDR18	green
WDR62	green
WDR86	green
WFDC1	green
WIPF1	green
WNT3	green
WNT5A	green
XAF1	green
YIPF6	green
YTHDF3	green
YY1	midnightblue
YY1AP1	midnightblue
YY2	midnightblue
ZBED1	midnightblue
ZBED2	midnightblue
ZBTB24	midnightblue
ZC3H12A	green
ZC3H12C	green
ZC3H7A	green
ZNF189	green
ZNF2	green
ZNF22	midnightblue
ZNF229	green
ZNF274	green
ZNF296	green
ZNF331	green
ZNF410	green
ZNF415	green
ZNF425	midnightblue
ZNF443	midnightblue
ZNF528	green
ZNF548	midnightblue
ZNF583	green
ZNF610	green
ZNF644	midnightblue
ZNF774	green
ZNF837	green
ZNFX1	green
